comments,sentiment
I am non tech n bignner you are working in 48.00 in Git bash but your giving comands of conda? does same comands work for miniconda and Git Bash?,LABEL_0
i love your videos sir,LABEL_1
"Baba jee please advise DATA SCIENCE with Phyton Ka chilla aur ya same ha ya Kuch different ha
Wo 96 slides per ha ?",LABEL_0
"code ki smjh ajati ha jesy functions,loops sub ki smjh agei ha ky konsi line kya kam krti ha per khud sy code nae lekh skty assigment ky lia chatgpt he dekhna prhta  code khud sy kesy lekhien ya hmesha he chatgpt say dekhna prega kya ???",LABEL_0
?????????,LABEL_0
Aoa! Mene same apki method se miniconda bash aur vscode install kia h.   Video 3 dafa check kr k re install bhi kia h magr git bash me ...conda env list or other commands kaam nhi kr the,LABEL_0
Sir. ya python ke slide mil sakti hai,LABEL_1
Thanks for sharing sir g,LABEL_1
Thanks a lot sir.,LABEL_1
sir functions or loops kliye especially koi video bna dn,LABEL_0
great explanation,LABEL_1
"aoa , today si my 1st one hour lecture , ana conda prompt use kr ra hn but jb git open kr ra hnn to wahan environment (base) ni a ra ??? any help",LABEL_0
?????? ????? ?? ????? ???? ?? ??? ?? ????? ??????? ??? ?? ???? ???? ???? ?? ?????? ?? ??????? ?? ???? ????? ??? ??? ?? ?? ???? ?? ?????? ?? ???? ??? ???? ?? ???? ???? ???? ???? ?? ?? ???? ???? ?? ???? ??? ?????? ??? ????? ??? ?? ???? ?? ????? ????? ?? ????? ?????? ???? ?? ? ???? ??? ??? ?????? ???,LABEL_0
"Sir 
If a person doesn't have graduation degree in IT or Computer science 
Then , this courses will still be helpful.",LABEL_1
"Sir i learnt first programming language VBA Excel from Udemy and in VBA we have to declare variables first, means it its Explicit or necessary to declare variables in VBA, and in python means its Emplicit to declare variables....am i right??",LABEL_0
"Dear Sir 
Is ki complete vedio kaha pr available ho gi?
i.e with liberaries",LABEL_1
Sir i am learning python ka chilla 2023 ... today is day 3 and i am doing basics... should i continue that course or learn python from this..,LABEL_0
Sir apki codanics university Pakistan men hay ya bahir,LABEL_1
Sir how can we use python for analyzing large data sets of 3.5 million rows of data stored in multiple Excel files,LABEL_0
plz any one have a solution ?,LABEL_0
Lms means your codanic website? I tried to sign in not working.,LABEL_0
Love from ????,LABEL_1
"Respected Sir! 
Abc kch bhi ni pta Python Data Science ki pr apki videos s? inspired hu kr shuru kia Roadmap apka Excel sy 
tu ab es ko krien ya Python ka Chilla free sy start?",LABEL_1
"Brother
activate window 
ka masla arha ha kia kro new window ni krwa skta q phr sa muja sub kuch start krna hoga 
muja kia krna ha ap btaye",LABEL_0
Great sir g,LABEL_1
I m from pakpattan sir!,LABEL_1
sir hum if ki sath condition n krsakte multiple condfitions matlib hum elif else na krey,LABEL_0
bhai git bash miniconda k sath connect ni ho raha,LABEL_0
@Codanics,LABEL_0
Si kiya apse mentoga pe bt hoskti he. Koi tareeqa. I have so many questions regarding data & AI that need to be answered.,LABEL_0
Also make video on  data analyst and science jobs  projects . Easy project,LABEL_1
AoA i am web developer i am making some money too I want to do something in data field i want to know if I take this course after that i can make money because i dont want to waste my time if I cannot make money after taking the course then i will explore other field.....,LABEL_1
Very nice,LABEL_1
bhai please make complete data science course for base building of ai and ml for a beginner.,LABEL_1
Can you make projects that is aligned with Python and biology so i can learn to do bioinformatics on it.,LABEL_1
Aoa sir,LABEL_1
14-Jul,LABEL_1
"brother gitbash  ma conda ki jga pa ""MINGW"" ha conda ko kaisa lana ha yaha plz guide me",LABEL_1
?? ??? 12 ??? ?? ???? ????? ??? ???? ??? ???? ?????? ??,LABEL_0
Great Sir this is new series?,LABEL_1
Nice,LABEL_1
Sir ye new python version ki video ha ya jo continued ha,LABEL_1
Asalam u alaikum sir frontend backend per ak series banaen,LABEL_0
